Model,Amount of features,MSE,R2 Score
GradientBoostingRegressor,1,445.29360647509,0.7130254476219587
XGBRegressor,1,465.5778460937573,0.6999530376429001
LGBMRegressor,1,588.7875028019297,0.6205491666500704
RandomForestRegressor,1,423.14500622095056,0.7272993661137289
GradientBoostingRegressor,2,355.50598180993416,0.77089010820251
XGBRegressor,2,332.92128626489426,0.7854450732870912
LGBMRegressor,2,470.1755702163884,0.6969899818009483
RandomForestRegressor,2,350.87910955620475,0.773871948890579
GradientBoostingRegressor,3,104.47890302966321,0.9326673772227996
XGBRegressor,3,111.80508167328661,0.9279459376909409
LGBMRegressor,3,134.18522337817896,0.9135227996657649
RandomForestRegressor,3,111.48822830181142,0.9281501374663842
GradientBoostingRegressor,4,63.97257400403866,0.9587721437668854
XGBRegressor,4,66.91537677409086,0.9568756208988441
LGBMRegressor,4,73.6898286798138,0.9525097479669583
RandomForestRegressor,4,70.55676700429449,0.9545288853604238
GradientBoostingRegressor,5,53.092548427889,0.9657839005587536
XGBRegressor,5,47.331978394148265,0.9694963657341716
LGBMRegressor,5,55.17552501857839,0.964441502495914
RandomForestRegressor,5,61.26329798691856,0.9605181676508485
GradientBoostingRegressor,6,48.38022348592571,0.9688208122080912
XGBRegressor,6,45.49730346400595,0.9706787429549105
LGBMRegressor,6,56.18432138396779,0.9637913721522743
RandomForestRegressor,6,61.313053028935265,0.9604861024455466
GradientBoostingRegressor,7,49.42980326480328,0.9681443985276598
XGBRegressor,7,48.644180473208436,0.9686507021118064
LGBMRegressor,7,57.834911117906614,0.9627276307394872
RandomForestRegressor,7,61.81880064512357,0.9601601676158938
GradientBoostingRegressor,8,54.168882559426976,0.9650902447300692
XGBRegressor,8,51.78185646429765,0.9666285909699512
LGBMRegressor,8,60.46833563611263,0.9610304902206376
RandomForestRegressor,8,63.7891917147915,0.9588903265784181
GradientBoostingRegressor,9,47.94616113298919,0.9691005486508041
XGBRegressor,9,46.531650281100454,0.9700121463307437
LGBMRegressor,9,51.388672234696145,0.9668819830390294
RandomForestRegressor,9,55.896977972174284,0.9639765538970358
GradientBoostingRegressor,10,43.6810960510897,0.9718492185731732
XGBRegressor,10,43.77611141150795,0.9717879848385572
LGBMRegressor,10,51.804904770988685,0.9666137372253666
RandomForestRegressor,10,54.35632873697707,0.9649694428992879
GradientBoostingRegressor,11,41.17094116558816,0.9734669165688139
XGBRegressor,11,41.15033501100463,0.97348019644057
LGBMRegressor,11,43.4139919019093,0.9720213568939008
RandomForestRegressor,11,51.992510279445696,0.966492832711962
GradientBoostingRegressor,12,41.503055394805024,0.9732528817592365
XGBRegressor,12,39.75485706648658,0.9743795281458949
LGBMRegressor,12,40.17900532840676,0.9741061809524106
RandomForestRegressor,12,49.24138286377572,0.9682658282078921
GradientBoostingRegressor,13,37.00409623264814,0.9761522873939754
XGBRegressor,13,43.50847288619136,0.9719604675440914
LGBMRegressor,13,42.46713141931756,0.9726315719502254
RandomForestRegressor,13,50.868538668635246,0.9672171890584436
GradientBoostingRegressor,14,36.57182316593947,0.9764308707107353
XGBRegressor,14,41.51762436335257,0.9732434926209989
LGBMRegressor,14,42.84872092918151,0.9723856522307572
RandomForestRegressor,14,53.245270528398564,0.9656854770561596
GradientBoostingRegressor,15,37.44023423926187,0.975871213272535
XGBRegressor,15,39.86960201660924,0.9743055794517743
LGBMRegressor,15,42.972635842223774,0.972305793849262
RandomForestRegressor,15,54.33159386631968,0.9649853835692904
GradientBoostingRegressor,16,37.051797210813966,0.9761215459535907
XGBRegressor,16,38.329191303102874,0.9752983147359975
LGBMRegressor,16,42.272119539676694,0.9727572495841609
RandomForestRegressor,16,52.657170684046065,0.966064484720165
GradientBoostingRegressor,17,39.028344624233014,0.9748477373900455
XGBRegressor,17,37.294917680106266,0.9759648641893917
LGBMRegressor,17,43.237526699173046,0.9721350819100006
RandomForestRegressor,17,52.94983451833402,0.9658758741683386
GradientBoostingRegressor,18,37.075725314751764,0.9761061252136184
XGBRegressor,18,37.19126632893037,0.9760316634869215
LGBMRegressor,18,42.75834101439406,0.9724438985994742
RandomForestRegressor,18,52.39561829302855,0.9662330451469132
GradientBoostingRegressor,19,37.49070706708711,0.9758386854819676
XGBRegressor,19,38.352902323579734,0.9752830338979418
LGBMRegressor,19,43.46146100394581,0.9719907648887369
RandomForestRegressor,19,52.795276585951164,0.9659754807937586
GradientBoostingRegressor,20,36.02367873073993,0.976784128654803
XGBRegressor,20,37.85241954700227,0.975605575741554
LGBMRegressor,20,42.59833469692499,0.9725470164989133
RandomForestRegressor,20,53.329877067454156,0.9656309514053965
GradientBoostingRegressor,21,37.04438971397844,0.9761263197995604
XGBRegressor,21,36.494735659153534,0.9764805506352439
LGBMRegressor,21,42.482239062035646,0.972621835657264
RandomForestRegressor,21,55.390777284926365,0.9643027807135094
GradientBoostingRegressor,22,37.26995314846061,0.975980952867042
XGBRegressor,22,35.791847380848566,0.9769335350170207
LGBMRegressor,22,42.69221930711132,0.9724865114892037
RandomForestRegressor,22,52.16509698050387,0.9663816072405822
GradientBoostingRegressor,23,35.60089845440594,0.9770565942343464
XGBRegressor,23,35.44324649616693,0.97715819484008
LGBMRegressor,23,41.71863946017214,0.9731139461451631
RandomForestRegressor,23,52.317948280492026,0.9662831004739081
GradientBoostingRegressor,24,36.605498520105286,0.9764091682439866
XGBRegressor,24,35.48739729602985,0.9771297413526651
LGBMRegressor,24,44.25145188480592,0.9714816462395559
RandomForestRegressor,24,54.45951674919936,0.9649029422058406
