Model,Amount of features,MSE,R2 Score
GradientBoostingRegressor,1,445.29360647509,0.7130254476219587
XGBRegressor,1,465.5778460937573,0.6999530376429001
LGBMRegressor,1,588.7875028019297,0.6205491666500704
RandomForestRegressor,1,423.14500622095056,0.7272993661137289
GradientBoostingRegressor,2,385.4932841089782,0.7515644486171089
XGBRegressor,2,409.6243677270147,0.7360128960706869
LGBMRegressor,2,555.1559570825159,0.6422234005448935
RandomForestRegressor,2,360.51589581701137,0.7676614118800671
GradientBoostingRegressor,3,273.53345093957034,0.8237182422959506
XGBRegressor,3,273.0790856307184,0.8240110632105738
LGBMRegressor,3,435.9180974887939,0.7190676015076987
RandomForestRegressor,3,317.4070929979914,0.795443372394772
GradientBoostingRegressor,4,102.74017965965652,0.9337879173643181
XGBRegressor,4,98.94745915566682,0.9362321794266981
LGBMRegressor,4,135.8882985543046,0.9124252334100901
RandomForestRegressor,4,110.21381878483788,0.9289714452403153
GradientBoostingRegressor,5,63.62691895325388,0.9589949051136323
XGBRegressor,5,67.76979747493844,0.9563249797160317
LGBMRegressor,5,74.67452699375625,0.951875147887905
RandomForestRegressor,5,70.24603097585346,0.9547291427442552
GradientBoostingRegressor,6,59.627587746290914,0.9615723198041662
XGBRegressor,6,63.134726023556894,0.9593121044707071
LGBMRegressor,6,66.4082971442376,0.957202414159922
RandomForestRegressor,6,69.43059660196154,0.9552546587432243
GradientBoostingRegressor,7,47.17480543918812,0.9695976576407694
XGBRegressor,7,49.41306689407559,0.968155184472996
LGBMRegressor,7,56.88448168744716,0.963340145845042
RandomForestRegressor,7,62.95215518361486,0.9594297643344639
GradientBoostingRegressor,8,50.560313990339985,0.9674158279739803
XGBRegressor,8,47.9623364190801,0.9690901243028727
LGBMRegressor,8,57.674895143113986,0.9628307548626986
RandomForestRegressor,8,60.03913226411905,0.9613070952375656
GradientBoostingRegressor,9,44.479716240723334,0.9713345386673592
XGBRegressor,9,43.502961088295656,0.9719640196852201
LGBMRegressor,9,49.6597455881963,0.9679962095701519
RandomForestRegressor,9,57.04791158600282,0.9632348215796558
GradientBoostingRegressor,10,43.703245116822664,0.9718349443546983
XGBRegressor,10,41.88947257072146,0.9730038507952224
LGBMRegressor,10,45.76652340527728,0.970505241087796
RandomForestRegressor,10,56.07779515779363,0.9638600241958435
GradientBoostingRegressor,11,43.41128295285759,0.9720231027070682
XGBRegressor,11,43.19725028822475,0.9721610385032129
LGBMRegressor,11,46.13413124789594,0.970268332013531
RandomForestRegressor,11,56.644847442346425,0.9634945808722292
GradientBoostingRegressor,12,42.773238438827335,0.9724342977840883
XGBRegressor,12,40.63812675126959,0.9738102949057723
LGBMRegressor,12,40.74570385064476,0.9737409656149619
RandomForestRegressor,12,54.361106143784376,0.9649663640448869
GradientBoostingRegressor,13,39.49716343714936,0.97454560174959
XGBRegressor,13,38.70026396890798,0.9750591727168427
LGBMRegressor,13,42.08673988879136,0.9728767196182221
RandomForestRegressor,13,51.30539712731732,0.9669356506334362
GradientBoostingRegressor,14,38.713307028139695,0.975050766968298
XGBRegressor,14,38.57543366013255,0.975139621035577
LGBMRegressor,14,45.93431489770631,0.9703971059434049
RandomForestRegressor,14,50.899956536713546,0.9671969414543969
GradientBoostingRegressor,15,36.49121353022421,0.9764828205114743
XGBRegressor,15,36.38209400646971,0.9765531438352989
LGBMRegressor,15,42.8649132730255,0.9723752168897619
RandomForestRegressor,15,52.2814671398196,0.9663066111618284
GradientBoostingRegressor,16,38.48053413895048,0.9752007801162736
XGBRegressor,16,37.31920502082923,0.9759492119351686
LGBMRegressor,16,44.1209164275431,0.9715657713064167
RandomForestRegressor,16,53.63253406865804,0.9654359006429746
GradientBoostingRegressor,17,37.847745741726044,0.9756085878287648
XGBRegressor,17,37.34854144367866,0.9759303057422811
LGBMRegressor,17,43.241196310004796,0.9721327169873731
RandomForestRegressor,17,53.41354662855845,0.9655770296007794
GradientBoostingRegressor,18,37.4443439965108,0.97586856469252
XGBRegressor,18,37.008342763549955,0.9761495506686171
LGBMRegressor,18,42.7596823147991,0.9724430341831033
RandomForestRegressor,18,53.70123073374488,0.9653916282922682
GradientBoostingRegressor,19,37.36205368349835,0.9759215976249457
XGBRegressor,19,37.250597727633696,0.9759934266891385
LGBMRegressor,19,42.764477456885615,0.9724399438989989
RandomForestRegressor,19,52.93166396688445,0.9658875843878273
GradientBoostingRegressor,20,35.836835733551155,0.9769045417591089
XGBRegressor,20,37.75616088485056,0.9756676107361775
LGBMRegressor,20,42.592191035523754,0.9725509758516975
RandomForestRegressor,20,54.242855344197345,0.9650425721237508
GradientBoostingRegressor,21,36.533631788324136,0.9764554835803936
XGBRegressor,21,39.584069623207476,0.9744895940650415
LGBMRegressor,21,43.876441365528336,0.9717233260533727
RandomForestRegressor,21,53.52648207759691,0.9655042470603069
GradientBoostingRegressor,22,38.09873451886374,0.9754468352436756
XGBRegressor,22,35.63784226223643,0.97703278537529
LGBMRegressor,22,42.67824912575121,0.972495514732197
RandomForestRegressor,22,53.55284043058235,0.9654872601185691
GradientBoostingRegressor,23,37.15338419363598,0.9760560770618328
XGBRegressor,23,35.45900299976124,0.9771480403813133
LGBMRegressor,23,41.71883527794502,0.9731138199481622
RandomForestRegressor,23,53.16664133763803,0.9657361505365201
GradientBoostingRegressor,24,36.84567696861516,0.9762543824986947
XGBRegressor,24,35.474589992237284,0.9771379951659236
LGBMRegressor,24,44.23325844221384,0.9714933712115028
RandomForestRegressor,24,53.12598662029678,0.9657623509336096
